ID_SCENARIO,vento_medio,std_vento,zavorra,angolo_rampa,delay_secondi,SIM_N,ANGOLO_ACC_C6,INCLINAZIONE
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,1,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,2,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,3,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,4,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,5,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,6,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,7,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,8,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,9,,
V4.0_T0.15_Z20,4.0,0.6,20,-12.8,0.9,10,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,1,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,2,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,3,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,4,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,5,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,6,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,7,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,8,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,9,,
V4.0_T0.15_Z40,4.0,0.6,40,-15.2,2.45,10,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,1,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,2,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,3,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,4,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,5,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,6,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,7,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,8,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,9,,
V4.0_T0.15_Z60,4.0,0.6,60,-16.5,1.9,10,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,1,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,2,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,3,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,4,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,5,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,6,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,7,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,8,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,9,,
V6.0_T0.05_Z0,6.0,0.3,0,-23.2,0.85,10,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,1,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,2,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,3,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,4,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,5,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,6,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,7,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,8,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,9,,
V6.0_T0.05_Z20,6.0,0.3,20,-19.6,1.3,10,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,1,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,2,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,3,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,4,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,5,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,6,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,7,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,8,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,9,,
V6.0_T0.05_Z40,6.0,0.3,40,-19.7,2.4,10,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,1,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,2,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,3,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,4,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,5,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,6,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,7,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,8,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,9,,
V6.0_T0.05_Z60,6.0,0.3,60,-19.4,2.55,10,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,1,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,2,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,3,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,4,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,5,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,6,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,7,,
V6.0_T0.15_Z0,6.0,0.9,0,-23.1,0.8,8,,
